ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
577,Darkman,Darkman,8.899418,"Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.","corruption, experiment, burn, mask, gangster boss, los angeles, madness, outsider, disfigurement, conflagration, darkman",Action,Darkman Collection,en,English,"Universal Pictures, Renaissance Pictures",United States of America,Sam Raimi,8/24/90,96,Released,"They destroyed everything he had, everything he was. Now, crime has a new enemy and justice has a new face.",Missing,tt0099365,16000000,48878502,1990
578,Sahara,Sahara,8.665106,"Two clans of snakes cohabit in the desert. Beautiful green serpents that live under the shelter of an oasis, protected and venerated by men and poisonous snakes that survive in the sand, dust and heat, hunted and killed by the Tuaregs. Here is the story of Ajar, a young poisonous serpent, laughed at by his peers because he still has not done his first moult and that of Eva, rebellious princess of the oasis who wants to escape to escape an arranged marriage. These two will meet and fall in love. Alas, Eva will be kidnapped by the Tuaregs and Ajar, accompanied by her best friend, Pitt the Scorpion, will have to cross the ruthless Sahara to save Eva from the terrible fate awaiting her.","snake, prejudice, talking animal, desert, cobra, talking snake",Adventure,Missing,fr,"English, Français","StudioCanal, M6 Films, Mikros Image, Mandarin Films, Transfilm International, La Station d'Animation","Canada, France",Pierre Cor√©,2/1/17,86,Released,Missing,Missing,tt4466894,0,7800000,2017
579,People Like Us,People Like Us,14.906621,"It tells the story of a struggling man who, after flying home to L.A. for the funeral of his estranged record-producer father, discovers that the will stipulates that he must deliver $150,000 in cash to a 30-year-old alcoholic sister he never knew existed, and her troubled 12-year-old son.",duringcreditsstinger,Drama,Missing,en,English,"DreamWorks SKG, Touchstone Pictures",United States of America,Alex Kurtzman,6/29/12,114,Released,Find your family.,Missing,tt1716777,16000000,12434778,2012
580,Blood on the Moon,Blood on the Moon,1.033927,"Mitchum plays drifter cowboy Jim Garry. After receiving a job-offer letter from smooth-talking Tate Riling (Preston), Garry rides into an Indian reservation and finds himself in the middle of a feud between cattle ranchers and homesteaders. What Garry doesn't realize is that Riling, the man he now works for, is crooked.","daughter, ranchers, homesteaders",Action,Missing,en,English,RKO Radio Pictures,United States of America,Robert Wise,11/9/48,88,Released,"""Just remember...A WOMAN'S BULLETS KILL AS QUICK AS A MAN'S!""",Missing,tt0040175,0,88,1948
581,Haunted Honeymoon,Haunted Honeymoon,2.858879,"Larry Abbot, speaker in the radio horror shows of Manhattan Mystery Theater wants to marry. For the marriage he takes his fianc√©e home to the castle where he grew up among his eccentric relatives. His uncle decides that he needs to be cured from a neurotic speech defect and exaggerated bursts of fear: he gives him a shock therapy with palace ghosts.",radio program,Comedy,Missing,en,English,Orion Pictures,United Kingdom,Gene Wilder,7/25/86,82,Released,...A Comedy Chiller,Missing,tt0091178,0,8033397,1986
582,"Men, Women & Children","Men, Women & Children",6.785735,"Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships, their communication, their self-image, and their love lives.","high school, teenager, overprotective parent, pressure, self image",Drama,Missing,en,English,"Paramount Pictures, Right of Way Films",United States of America,Jason Reitman,10/17/14,116,Released,Discover how little you know about the people you know.,Missing,tt3179568,0,461162,2014
583,I'm Not There.,I'm Not There.,9.351557,"Six actors portray six personas of music legend Bob Dylan in scenes depicting various stages of his life, chronicling his rise from unknown folksinger to international icon and revealing how Dylan constantly reinvented himself.","rock and roll, music style, success, john f. kennedy, advancement, bob dylan, rock, biography, music, beatnik, motorcycle crash",Drama,Missing,en,English,"Endgame Entertainment, Rising Star, Killer Films, John Wells Productions, Dreamachine, Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I), Grey Water Park Productions, John Goldwyn Productions, Wells Productions",United States of America,Todd Haynes,10/1/07,135,Released,All I Can Do Is Be Me Whoever That Is,http://www.imnotthere-movie.com/,tt0368794,20000000,4001121,2007
584,From Dusk Till Dawn,From Dusk Till Dawn,15.339153,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","dancing, brother brother relationship, sexual obsession, showdown, sheriff, eroticism, nudity, bank robber, vampire, holy water, siege, stripper, priest, explosion, extreme violence, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, blood spurting, convenience store, female vampire, mexican american border, nightclub entertainer, boa constrictor",Horror,From Dusk Till Dawn Collection,en,"English, Español","A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",United States of America,Robert Rodriguez,1/19/96,108,Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,http://www.miramax.com/movie/from-dusk-till-dawn/,tt0116367,19000000,25836616,1996
585,Housekeeping,Housekeeping,0.773954,"In the Pacific Northwest during the 1950s, two young sisters whose mother has abandoned them wind up living with their Aunt Sylvie, whose views of the world and its conventions don't quite live up to most people's expectations.","small town, train accident",Comedy,Missing,en,English,Columbia Pictures Corporation,United States of America,Bill Forsyth,11/25/87,116,Released,A tidy comedy,Missing,tt0093225,0,1083282,1987
586,Dangal,दंगल,8.792104,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.","biography, wrestling, sport, autobiography",Drama,Missing,hi,हिन्दी,"Walt Disney Pictures, Aamir Khan Productions",India,Nitesh Tiwari,12/23/16,161,Released,Missing,Missing,tt5074352,10400000,310000000,2016
587,Katyar Kaljat Ghusali,कट्यार काळजात घुसली,0.446454,"Katyar Kaljat Ghusli is a 2015 Marathi film based on a play by the same name. Directed by Subodh Bhave, the film stars Sachin Pilgaonkar, Shankar Mahadevan, and Subodh Bhave in lead roles. The film marks the acting debut for Mahadevan and directorial debut for Bhave. The original play premiered in 1967 in Mumbai, where Hindustani classical vocalist Vasantrao Deshpande played one of the protagonists. In 2010, the play was relaunched with protagonists essayed by Rahul Deshpande, grandson of Vasantrao Deshpande and singer Mahesh Kale. The film's music is composed by Shankar‚ÄìEhsaan‚ÄìLoy, and retained some of the songs from the original play composed by Jitendra Abhisheki.",Missing,Music,Missing,mr,"हिन्दी, ",,India,Subodh Bhave,11/12/15,162,Released,A dagger through the heart,Missing,tt5190958,1500000,4400000,2015
588,Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,0.75571,"Picking up immediately after the events in Resident Evil: Retribution, Alice (Milla Jovovich) is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.","helicopter, monster, underground, mutant, post-apocalyptic, dystopia, sequel, end of the world, female soldier, woman with gun, resident evil, zombie, armageddon, pistol, based on video game, heroine, sci-fi thriller",Action,Resident Evil Collection,en,English,"Constantin Film, Impact Pictures, Screen Gems, Davis Films","France, Australia, Canada, Germany",Paul W.S. Anderson,12/23/16,107,Released,Back to the Hive,Missing,tt2592614,40000000,312242626,2016
589,Macabre,Macabre,0.837849,"A doctor's daughter is kidnapped and buried alive, and he is given just five hours to find and rescue her.","nurse, mother, based on novel, widow, investigation, daughter, father, sister, buried alive, doctor, preacher",Horror,Missing,en,English,William Castle Productions,United States of America,William Castle,10/1/58,72,Released,As Blood-Chilling As Being Buried Alive!,Missing,tt0051885,90000,5000000,1958
590,Kundun,Kundun,5.01752,"The Tibetans refer to the Dalai Lama as 'Kundun', which means 'The Presence'. He was forced to escape from his native home, Tibet, when communist China invaded and enforced an oppressive regime upon the peaceful nation. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since.","buddhism, china, mountain, buddhist monk, tibet, dalai lama, lhasa, buddha",Drama,Missing,en,"English, 普通话, ",Touchstone Pictures,United States of America,Martin Scorsese,12/25/97,134,Released,Missing,Missing,tt0119485,28000000,5684789,1997
